nazwa miasta;nazwa województwa
Olecko;WARMIÑSKO-MAZURSKIE
Barczewo;WARMIÑSKO-MAZURSKIE
Biskupiec;WARMIÑSKO-MAZURSKIE
Dobre Miasto;WARMIÑSKO-MAZURSKIE
Jeziorany;WARMIÑSKO-MAZURSKIE
Olsztynek;WARMIÑSKO-MAZURSKIE
Ostróda;WARMIÑSKO-MAZURSKIE
Mi³akowo;WARMIÑSKO-MAZURSKIE
Mi³om³yn;WARMIÑSKO-MAZURSKIE
Mor¹g;WARMIÑSKO-MAZURSKIE
Bia³a Piska;WARMIÑSKO-MAZURSKIE
Orzysz;WARMIÑSKO-MAZURSKIE
Pisz;WARMIÑSKO-MAZURSKIE
Ruciane-Nida;WARMIÑSKO-MAZURSKIE
Szczytno;WARMIÑSKO-MAZURSKIE
Pasym;WARMIÑSKO-MAZURSKIE
Go³dap;WARMIÑSKO-MAZURSKIE
Wêgorzewo;WARMIÑSKO-MAZURSKIE
Elbl¹g;WARMIÑSKO-MAZURSKIE
Olsztyn;WARMIÑSKO-MAZURSKIE
Chodzie¿;WIELKOPOLSKIE
Margonin;WIELKOPOLSKIE
Szamocin;WIELKOPOLSKIE
Czarnków;WIELKOPOLSKIE
Krzy¿ Wielkopolski;WIELKOPOLSKIE
Trzcianka;WIELKOPOLSKIE
Wieleñ;WIELKOPOLSKIE
Gniezno;WIELKOPOLSKIE
Czerniejewo;WIELKOPOLSKIE
K³ecko;WIELKOPOLSKIE
Trzemeszno;WIELKOPOLSKIE
Witkowo;WIELKOPOLSKIE
Borek Wielkopolski;WIELKOPOLSKIE
Gostyñ;WIELKOPOLSKIE
Krobia;WIELKOPOLSKIE
Pogorzela;WIELKOPOLSKIE
Poniec;WIELKOPOLSKIE
Grodzisk Wielkopolski;WIELKOPOLSKIE
Rakoniewice;WIELKOPOLSKIE
Wielichowo;WIELKOPOLSKIE
Jaraczewo;WIELKOPOLSKIE
Jarocin;WIELKOPOLSKIE
¯erków;WIELKOPOLSKIE
Stawiszyn;WIELKOPOLSKIE
Kêpno;WIELKOPOLSKIE
Ko³o;WIELKOPOLSKIE
D¹bie;WIELKOPOLSKIE
K³odawa;WIELKOPOLSKIE
Przedecz;WIELKOPOLSKIE
Golina;WIELKOPOLSKIE
Kleczew;WIELKOPOLSKIE
Rychwa³;WIELKOPOLSKIE
Sompolno;WIELKOPOLSKIE
Œlesin;WIELKOPOLSKIE
Koœcian;WIELKOPOLSKIE
Czempiñ;WIELKOPOLSKIE
Krzywiñ;WIELKOPOLSKIE
Œmigiel;WIELKOPOLSKIE
Sulmierzyce;WIELKOPOLSKIE
Kobylin;WIELKOPOLSKIE
KoŸmin Wielkopolski;WIELKOPOLSKIE
Krotoszyn;WIELKOPOLSKIE
Zduny;WIELKOPOLSKIE
Osieczna;WIELKOPOLSKIE
Rydzyna;WIELKOPOLSKIE
Miêdzychód;WIELKOPOLSKIE
Sieraków;WIELKOPOLSKIE
Lwówek;WIELKOPOLSKIE
Nowy Tomyœl;WIELKOPOLSKIE
Opalenica;WIELKOPOLSKIE
Zb¹szyñ;WIELKOPOLSKIE
Oborniki;WIELKOPOLSKIE
RogoŸno;WIELKOPOLSKIE
Ostrów Wielkopolski;WIELKOPOLSKIE
Nowe Skalmierzyce;WIELKOPOLSKIE
Odolanów;WIELKOPOLSKIE
Raszków;WIELKOPOLSKIE
Grabów nad Prosn¹;WIELKOPOLSKIE
Mikstat;WIELKOPOLSKIE
Ostrzeszów;WIELKOPOLSKIE
Pi³a;WIELKOPOLSKIE
£ob¿enica;WIELKOPOLSKIE
Ujœcie;WIELKOPOLSKIE
Wyrzysk;WIELKOPOLSKIE
Wysoka;WIELKOPOLSKIE
Chocz;WIELKOPOLSKIE
Dobrzyca;WIELKOPOLSKIE
Pleszew;WIELKOPOLSKIE
Luboñ;WIELKOPOLSKIE
Puszczykowo;WIELKOPOLSKIE
Buk;WIELKOPOLSKIE
Kostrzyn;WIELKOPOLSKIE
Kórnik;WIELKOPOLSKIE
Mosina;WIELKOPOLSKIE
Murowana Goœlina;WIELKOPOLSKIE
Pobiedziska;WIELKOPOLSKIE
Stêszew;WIELKOPOLSKIE
Swarzêdz;WIELKOPOLSKIE
Bojanowo;WIELKOPOLSKIE
Jutrosin;WIELKOPOLSKIE
Miejska Górka;WIELKOPOLSKIE
Rawicz;WIELKOPOLSKIE
S³upca;WIELKOPOLSKIE
Zagórów;WIELKOPOLSKIE
Obrzycko;WIELKOPOLSKIE
Ostroróg;WIELKOPOLSKIE
Pniewy;WIELKOPOLSKIE
Szamotu³y;WIELKOPOLSKIE
Wronki;WIELKOPOLSKIE
Œroda Wielkopolska;WIELKOPOLSKIE
Dolsk;WIELKOPOLSKIE
Ksi¹¿ Wielkopolski;WIELKOPOLSKIE
Œrem;WIELKOPOLSKIE
Turek;WIELKOPOLSKIE
Dobra;WIELKOPOLSKIE
Tuliszków;WIELKOPOLSKIE
W¹growiec;WIELKOPOLSKIE
Go³añcz;WIELKOPOLSKIE
Skoki;WIELKOPOLSKIE
Wolsztyn;WIELKOPOLSKIE
Mi³os³aw;WIELKOPOLSKIE
Nekla;WIELKOPOLSKIE
Pyzdry;WIELKOPOLSKIE
Wrzeœnia;WIELKOPOLSKIE
Z³otów;WIELKOPOLSKIE
Jastrowie;WIELKOPOLSKIE
Krajenka;WIELKOPOLSKIE
Okonek;WIELKOPOLSKIE
Kalisz;WIELKOPOLSKIE
Konin;WIELKOPOLSKIE
Leszno;WIELKOPOLSKIE
Poznañ;WIELKOPOLSKIE
Bia³ogard;ZACHODNIOPOMORSKIE
Karlino;ZACHODNIOPOMORSKIE
Tychowo;ZACHODNIOPOMORSKIE
Choszczno;ZACHODNIOPOMORSKIE
Drawno;ZACHODNIOPOMORSKIE
Pe³czyce;ZACHODNIOPOMORSKIE
Recz;ZACHODNIOPOMORSKIE
Czaplinek;ZACHODNIOPOMORSKIE
Drawsko Pomorskie;ZACHODNIOPOMORSKIE
Kalisz Pomorski;ZACHODNIOPOMORSKIE
Z³ocieniec;ZACHODNIOPOMORSKIE
Goleniów;ZACHODNIOPOMORSKIE
Maszewo;ZACHODNIOPOMORSKIE
Nowogard;ZACHODNIOPOMORSKIE
Stepnica;ZACHODNIOPOMORSKIE
Gryfice;ZACHODNIOPOMORSKIE
P³oty;ZACHODNIOPOMORSKIE
Trzebiatów;ZACHODNIOPOMORSKIE
Cedynia;ZACHODNIOPOMORSKIE
Chojna;ZACHODNIOPOMORSKIE
Gryfino;ZACHODNIOPOMORSKIE
Mieszkowice;ZACHODNIOPOMORSKIE
Moryñ;ZACHODNIOPOMORSKIE
Trzciñsko-Zdrój;ZACHODNIOPOMORSKIE
Dziwnów;ZACHODNIOPOMORSKIE
Golczewo;ZACHODNIOPOMORSKIE
Kamieñ Pomorski;ZACHODNIOPOMORSKIE
Miêdzyzdroje;ZACHODNIOPOMORSKIE
Wolin;ZACHODNIOPOMORSKIE
Ko³obrzeg;ZACHODNIOPOMORSKIE
Goœcino;ZACHODNIOPOMORSKIE
Bobolice;ZACHODNIOPOMORSKIE
Polanów;ZACHODNIOPOMORSKIE
Sianów;ZACHODNIOPOMORSKIE
Barlinek;ZACHODNIOPOMORSKIE
Dêbno;ZACHODNIOPOMORSKIE
Myœlibórz;ZACHODNIOPOMORSKIE
Nowe Warpno;ZACHODNIOPOMORSKIE
Police;ZACHODNIOPOMORSKIE
Lipiany;ZACHODNIOPOMORSKIE
Pyrzyce;ZACHODNIOPOMORSKIE
Dar³owo;ZACHODNIOPOMORSKIE
S³awno;ZACHODNIOPOMORSKIE
Stargard;ZACHODNIOPOMORSKIE
Chociwel;ZACHODNIOPOMORSKIE
Dobrzany;ZACHODNIOPOMORSKIE
Iñsko;ZACHODNIOPOMORSKIE
Suchañ;ZACHODNIOPOMORSKIE
Szczecinek;ZACHODNIOPOMORSKIE
Barwice;ZACHODNIOPOMORSKIE
Bia³y Bór;ZACHODNIOPOMORSKIE
Borne Sulinowo;ZACHODNIOPOMORSKIE
Œwidwin;ZACHODNIOPOMORSKIE
Po³czyn-Zdrój;ZACHODNIOPOMORSKIE
Wa³cz;ZACHODNIOPOMORSKIE
Cz³opa;ZACHODNIOPOMORSKIE
Miros³awiec;ZACHODNIOPOMORSKIE
Tuczno;ZACHODNIOPOMORSKIE
Dobra;ZACHODNIOPOMORSKIE
£obez;ZACHODNIOPOMORSKIE
Resko;ZACHODNIOPOMORSKIE
Wêgorzyno;ZACHODNIOPOMORSKIE
Koszalin;ZACHODNIOPOMORSKIE
Szczecin;ZACHODNIOPOMORSKIE
Œwinoujœcie;ZACHODNIOPOMORSKIE
